,brand,accessories,bag style,skin type,hardware - metal type,hardware - num zips,hardware - strap type,strap length,num compartments,num components,major color,num colors,volume,num functionality,inner material,price
85,Louis Vitton,Pieces,Shoulder Bag,Calf,Gold,0,Leather,30.0,2,7,Black,3,80.0,2,Sheep,5500
86,Louis Vitton,Strap,Shoulder Bag,Calf,Silver,2,Leather,10.0,2,5,Beige,1,495.88,2,Microfiber,3650
87,Louis Vitton,Strap,Tote,Calf,None,0,Leather,30.0,1,6,Pink,1,806.0500000000001,2,Calf,3650
88,Louis Vitton,Strap,Shoulder Bag,Calf,None,1,Leather,10.0,3,3,Beige,1,894.8520000000001,2,Microfiber,4150
89,Louis Vitton,Strap,Shoulder Bag,Calf,None,0,Leather,10.0,1,10,Beige,1,1326.6000000000001,2,Microfiber,3900
90,Louis Vitton,Strap,Shoulder Bag,Calf,Silver,1,Leather,10.0,6,10,Pink,1,1120.0,2,Microfiber,4250
91,Louis Vitton,Pieces,Shoulder Bag,Calf,Gold,2,Leather,10.0,3,7,Blue,1,1067.22,2,Others,3500
92,Louis Vitton,Pieces,Shoulder Bag,Epi,Silver,0,Leather,30.0,1,5,Red,1,225.589,2,Microfiber,3800
93,Louis Vitton,Pieces,Handle Bag,Others,Gold,1,Leather,65.0,2,6,Black,1,1386.0,2,Calf,4000
94,Celine,Lock,Handle Bag,Calf,Brass,0,Leather,10.0,2,5,Black,1,585.0,2,Others,4500
95,Celine,Lock,Handle Bag,Calf,Brass,0,Leather,10.0,2,5,Black,1,585.0,2,Others,4550
96,Celine,Lock,Handle Bag,Crocodile,Gold,0,Leather,10.0,2,5,Black,1,585.0,2,Others,37200
97,Celine,Lock,Handle Bag,Calf,Brass,0,Leather,10.0,2,4,Black,1,252.0,2,Others,4150
98,Celine,Lock,Handle Bag,Lizard,Brass,0,Leather,10.0,2,5,Green,1,252.0,2,Others,7500
99,Celine,Clasp,Shoulder Bag,Lizard,Gold,0,Metal,50.0,2,4,Black,1,144.0,2,Others,7000
100,Celine,Clasp,Shoulder Bag,Calf,Gold,0,Leather,50.0,2,3,Black,1,162.0,2,Others,3850
101,Celine,Clasp,Shoulder Bag,Crocodile,Gold,0,Leather,50.0,2,3,Red,1,162.0,2,Others,24800
102,Celine,Strap,Handle Bag,Calf,Leather,0,Leather,10.0,2,2,Black,1,1859.0,2,Calf,3950
103,Celine,Strap,Handle Bag,Calf,Leather,0,Leather,10.0,2,3,Blue,1,1859.0,2,Calf,4150
104,Celine,Strap,Handle Bag,Calf,Leather,0,Leather,10.0,2,3,Yellow,1,1859.0,2,Calf,4700
105,Celine,Clasp,Shoulder Bag,Lizard,Brass,0,Leather,50.0,2,2,Green,1,189.0,2,Others,7000
106,Celine,Clasp,Shoulder Bag,Calf,Brass,0,Leather,50.0,2,2,Black,1,189.0,2,Others,4400
